Loading Hopkins155 data from: data/Hopkins155/
finished loading data for 157 sequences
cuda
Pretraining Epoch 1/300, Avg Loss: 5.4111
Pretraining Epoch 2/300, Avg Loss: 5.3526
Pretraining Epoch 3/300, Avg Loss: 5.3295
Pretraining Epoch 4/300, Avg Loss: 5.3316
Pretraining Epoch 5/300, Avg Loss: 5.3272
Pretraining Epoch 6/300, Avg Loss: 5.3145
Pretraining Epoch 7/300, Avg Loss: 5.3083
Pretraining Epoch 8/300, Avg Loss: 5.3075
Pretraining Epoch 9/300, Avg Loss: 5.3034
Pretraining Epoch 10/300, Avg Loss: 5.2979
Pretraining Epoch 11/300, Avg Loss: 5.2942
Pretraining Epoch 12/300, Avg Loss: 5.2910
Pretraining Epoch 13/300, Avg Loss: 5.2835
Pretraining Epoch 14/300, Avg Loss: 5.2839
Pretraining Epoch 15/300, Avg Loss: 5.2830
Pretraining Epoch 16/300, Avg Loss: 5.2808
Pretraining Epoch 17/300, Avg Loss: 5.2779
Pretraining Epoch 18/300, Avg Loss: 5.2708
Pretraining Epoch 19/300, Avg Loss: 5.2779
Pretraining Epoch 20/300, Avg Loss: 5.2689
Pretraining Epoch 21/300, Avg Loss: 5.2692
Pretraining Epoch 22/300, Avg Loss: 5.2698
Pretraining Epoch 23/300, Avg Loss: 5.2660
Pretraining Epoch 24/300, Avg Loss: 5.2667
Pretraining Epoch 25/300, Avg Loss: 5.2669
Pretraining Epoch 26/300, Avg Loss: 5.2591
Pretraining Epoch 27/300, Avg Loss: 5.2666
Pretraining Epoch 28/300, Avg Loss: 5.2639
Pretraining Epoch 29/300, Avg Loss: 5.2637
Pretraining Epoch 30/300, Avg Loss: 5.2640
Pretraining Epoch 31/300, Avg Loss: 5.2582
Pretraining Epoch 32/300, Avg Loss: 5.2569
Pretraining Epoch 33/300, Avg Loss: 5.2565
Pretraining Epoch 34/300, Avg Loss: 5.2596
Pretraining Epoch 35/300, Avg Loss: 5.2541
Pretraining Epoch 36/300, Avg Loss: 5.2513
Pretraining Epoch 37/300, Avg Loss: 5.2534
Pretraining Epoch 38/300, Avg Loss: 5.2540
Pretraining Epoch 39/300, Avg Loss: 5.2514
Pretraining Epoch 40/300, Avg Loss: 5.2485
Pretraining Epoch 41/300, Avg Loss: 5.2470
Pretraining Epoch 42/300, Avg Loss: 5.2460
Pretraining Epoch 43/300, Avg Loss: 5.2472
Pretraining Epoch 44/300, Avg Loss: 5.2478
Pretraining Epoch 45/300, Avg Loss: 5.2423
Pretraining Epoch 46/300, Avg Loss: 5.2455
Pretraining Epoch 47/300, Avg Loss: 5.2420
Pretraining Epoch 48/300, Avg Loss: 5.2448
Pretraining Epoch 49/300, Avg Loss: 5.2399
Pretraining Epoch 50/300, Avg Loss: 5.2379
Pretraining Epoch 51/300, Avg Loss: 5.2407
Pretraining Epoch 52/300, Avg Loss: 5.2403
